293705,out,I,I never get any notifications from the to do list,2
1101404,when,I,"I workout , everything",1
1107661,out,It,It crashes,2
1018307,out,(missing),note updates are completely hit,0
1203647,when,(iOS 7),Facebook was updated,0
168090,then,it,it would deserve 1 star,0
754462,then,You,You have to resign in,2
443418,non,he,he called the cops,0
1142801,out,(missing),refresh the page or else,1
801685,out,Instagram,Instagram will not work,2
685971,non,I,I hate it,0
171401,whenever,I,I open it,1
561152,then,I,Niantic randomly lost my account I started a new account which then randomly got logged out,2
695768,non,I,I would be able to play that certain song,0
590025,non,The bar code scanning,The bar code scanning does not work at all on the new version,2
681821,when,time,time is of the essence,0
115654,when,(missing),a level is selected the game crashes,2
971194,non,I,Ever since I updated this app,1
572687,whenever,I,I end a run it completely crashes,2
860100,when,I,I enlarged from the iPhone size,1
434320,non,I,I 'm on an IPod touch 5th gen,0
1088783,non,I,I get so irritated sometimes I just wanna throw my iPod out the window,0
65550,non,I,"However , the more I used it , the more unstable",0
276109,out,(you),slam your face into a glass wall,0
516594,non,This company,This company is just now realizing that they need to communicate,0
67741,non,(missing),Please fix it,0
790990,when,i,i try to log in,1
179654,when,I,I open the app,1
395636,non,it,because it 's not fun to have to go through so much trouble,0
987056,out,it,"in app , it can literally take half a minute",2
1291959,out,(you),to save yourself,-1
913977,out,It,It 's,-1
178317,non,(It),wo n't go any farther,2
102920,whenever,I,I use the app I feel,0
963599,non,I,I 'm deeply disappointed with this service,0
848904,before,I,"I even click on "" go",1
317581,when,i,i go back to the messages page,1
329233,non,I,I tried restarting my phone,1
969865,then,(I),do nt care to know them,0
245792,non,I,"because I am so pleased , and just busy",0
649338,non,They,They said it was a free game,0
1268320,out,I,I am still getting messages on my phone,0
1300534,out,I,I logged out of my snapchat,1
700885,non,I,I wish I could give it less than 1 star,0
51278,out,they,they said to delete the app,0
841504,non,a FedEx jst,a FedEx jst screams across my iPad,0
276684,out,it,"that it , come one fb",0
257946,then,the time it is scheduled to remind me,"again today , the time it is scheduled to remind me came",0
932777,non,I,I deleted my facebook,1
284382,when,it,it works,-1
1207519,when,it,it 's working,2
1266409,non,the app,"and then within maybe 15 seconds into the webinar , the app crashed",2
822511,non,(missing),re - installing,1
1001926,out,(I),Liked it better,0
683600,out,(missing),Just wait,-1
413575,when,u,u just want to jump back into a game 3,0
411082,when,I,I go,-1
1285011,non,(missing),Please fix your game,0
920640,out,It,It keep freezing,2
1134375,out,(you),"complete 3 quests , which it only allows you to complete 1'quest every 24 hours",0
215747,out,(missing),as app is opened,1
257338,non,You,You will need an extra bird,0
948478,out,this,Although this is very inconvenient,0
1020329,out,(missing),SAYS TIME OUT,2
200551,non,I,even though I pressed,1
975766,out,it,it freezes the app forcing me to restart,2
764680,non,(missing),Uninstalling and reinstalling does n't fix it,0
543013,whenever,I,I add somebody on Facebook,1
267872,then,it,it starts back crashing everytime,2
816557,after,it,it will freeze,2
1248398,before,it,it would work,2
516750,non,I,Now I find out they do n't want to fix the footsteps,0
935402,until,it,it started crashing every five seconds,2
542969,out,I,like I used to,0
580783,when,Pinterest,Pinterest makes download the app for mobile version,0
1213225,out,App,App keeps crashing,2
231379,out,I,I actually did enjoy snapchat,0
448568,non,(missing),Please fix,-1
122526,out,(It),wo n't send messages,2
724934,out,I,I only update iOS,0
950419,out,I,I have to log in,1
158403,out,It,It also crashes,2
899695,out,it,now it closes,2
1116221,non,it,Software is n't a news story - it 's more like publishing a textbook,0
180800,out,The app,The app crashes,2
64531,before,(missing),was fine,-1
711606,out,you,because you got the tickets from expedia you must stick with their rules ( non refundable,0
633403,after,(missing),charge $ 9.99,0
648233,out,it,it keeps crashing,2
560473,non,the photos in the articles,the photos in the articles are glitching so bad,2
835377,then,I,"on the next page , I added a bunch of tabs with FORM",1
75083,non,It,It 's terrible,0
418706,when,I,I tap on a snap video my friend sends me,1
291293,out,This app,This app is great,0
676421,non,it,it 's so annoying to use this app,0
320783,then,(I),goes straight black,2
1186153,then,(missing),powering down,-1
1038086,out,(It),just freezes,2
955119,non,(missing),Ca n't comment on statuses / pics etc,2
738203,non,I,I have loved this game for a very long time,0
1103690,until,the This,the This is,0
619243,out,it,because it closes out,2
367930,non,(I),downloaded it again,1
710246,while,(it),attempting to load,2
151555,non,(missing),making videos,-1
511985,non,(missing),RIP Pokemon Go,0
1085414,before,you,you have to pay,0
687920,non,Someone,Someone please fix this,0
482397,then,(you),made it total crap,0
121185,non,(missing),stop sending message about me,0
65081,out,(missing),using Facebook,-1
375027,non,you,now you will have to spend around $ 150,2
199499,whenever,I,I try to sync my Vivosmart device,1
377547,out,(you),do n't ask again,0
814804,out,I,than I do,0
1073513,out,they,"They flake out , they will most likely just disappear",2
940949,out,(stuff),clicking something,1
799936,non,(missing),unless reinstalled sincerely,1
1037704,when,I,I first got my phone 18 months ago,0
1157835,when,I,I 'm playing,1
157489,non,Snapchat,Snapchat is about sending pictures to your friends not looking at news and magazines,2
497201,out,It,It kicked me out,2
1212580,non,Facebook,"Since update on November 8 , 2013 Facebook will not open",2
1241372,non,the lowest u can rank,the lowest u can rank is one,0
389999,out,(I),never received my stars now,2
814869,non,These two problems,These two problems are obnoxious,0
